postcode,count
28017,2385
28030,2323
28007,1056
28031,624
28027,574
28032,560
28036,415
28028,308
28018,236
28029,233
28009,223
28008,205
28038,201
28039,170
28004,145
28014,143
28011,122
28020,122
28042,106
28026,104
28033,99
28034,97
28012,92
28822,92
28037,86
28003,65
28005,62
28050,57
28035,54
28025,46
28223,39
28015,38
28043,38
28053,38
28001,37
28010,37
28016,37
28040,36
28022,35
28047,32
28045,31
28002,28
28006,26
28019,26
28046,24
28044,20
28024,17
28013,14
28023,13
28224,10
28821,5
28041,2
28071,2
28048,1
28055,1
28220,1
28334,1
28802,1
28934,1
